Time,Temperature
0,20.020010003334168
1000000,20.0
2000000,20.020010003334168
3000000,20.040040026680007
4000000,20.06009009006754
5000000,20.040040026680007
6000000,20.020010003334168
7000000,20.040040026680007
8000000,20.06009009006754
9000000,20.08016021354684
10000000,20.100250417188022
11000000,20.08016021354684
12000000,20.100250417188022
13000000,20.08016021354684
14000000,20.06009009006754
15000000,20.040040026680007
16000000,20.06009009006754
17000000,20.040040026680007
18000000,20.020010003334168
19000000,20.0
20000000,20.020010003334168
21000000,20.0
22000000,20.020010003334168
23000000,20.040040026680007
24000000,20.020010003334168
25000000,20.0
26000000,19.9800099966675
27000000,19.96003997334666
28000000,19.9800099966675
29000000,19.96003997334666
30000000,19.9800099966675
31000000,19.96003997334666
32000000,19.9800099966675
33000000,20.0
34000000,19.9800099966675
35000000,20.0
36000000,19.9800099966675
37000000,19.96003997334666
38000000,19.94008991006746
39000000,19.92015978687983
40000000,19.900249583853647
41000000,19.92015978687983
42000000,19.94008991006746
43000000,19.96003997334666
44000000,19.9800099966675
45000000,20.0
46000000,20.020010003334168
47000000,20.0
48000000,20.020010003334168
49000000,20.040040026680007
50000000,20.06009009006754
51000000,20.08016021354684
52000000,20.06009009006754
53000000,20.040040026680007
54000000,20.06009009006754
55000000,20.040040026680007
56000000,20.020010003334168
57000000,20.0
58000000,19.9800099966675
59000000,19.96003997334666
60000000,19.9800099966675
61000000,19.96003997334666
62000000,19.9800099966675
63000000,20.0
64000000,19.9800099966675
65000000,19.96003997334666
66000000,19.94008991006746
67000000,19.96003997334666
68000000,19.94008991006746
69000000,19.96003997334666
70000000,19.9800099966675
71000000,19.96003997334666
72000000,19.9800099966675
73000000,19.96003997334666
74000000,19.94008991006746
75000000,19.96003997334666
76000000,19.9800099966675
77000000,19.96003997334666
78000000,19.94008991006746
79000000,19.96003997334666
80000000,19.94008991006746
81000000,19.96003997334666
82000000,19.9800099966675
83000000,20.0
84000000,19.9800099966675
85000000,19.96003997334666
86000000,19.94008991006746
87000000,19.96003997334666
88000000,19.9800099966675
89000000,20.0
90000000,20.020010003334168
91000000,20.040040026680007
92000000,20.020010003334168
93000000,20.0
94000000,20.020010003334168
95000000,20.040040026680007
96000000,20.020010003334168
97000000,20.0
98000000,20.020010003334168
99000000,20.0
100000000,19.9800099966675
